GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s)
Sun Feb 16 14:28:01 GMT+01:00 2020,16-feb-2020 14:27:58.103,13.93642008,42.05244173,0.0,518.0,0.34062195,9.20617676,2.67427063,2.6397109,37.88214874,-,0.67207974,2432.0,125.91099548,518,42.05244064,13.93642044,0.03472191,0.93844813,0.17260659,-0.02180865,129
Sun Feb 16 14:28:03 GMT+01:00 2020,16-feb-2020 14:28:00.281,13.93633045,42.05242918,0.0,517.0,-0.17144775,8.767105099999998,3.74266052,170.33924866,0.58705157,-,0.68307185,1247.5,130.46199036,517,42.0524292,13.936330800000002,0.00447653,0.85893291,0.30700371,-0.04918184,131
Sun Feb 16 14:28:05 GMT+01:00 2020,16-feb-2020 14:28:02.413,13.93624623,42.05245807,0.0,518.0,0.44590759,8.29452515,3.74266052,21.63425255,4.62220383,-,0.69518298,1400.0,135.01300049,518,42.05245972,13.93624592,-0.16333903,0.90234971,0.28627133,-0.00461228,131
Sun Feb 16 14:28:07 GMT+01:00 2020,16-feb-2020 14:28:04.174,13.93602994,42.05247746,0.0,513.0,-0.11880493,8.32443237,4.73448181,8.1520977,12.26652718,-,0.70886159,1682.5,130.46199036,513,42.05247879,13.93603039,-0.03747813,0.84368813,0.37225252,-0.03207618,136
Sun Feb 16 14:28:08 GMT+01:00 2020,16-feb-2020 14:28:05.930,13.93558264,42.0523479,0.0,452.0,-0.34014893,8.52542114,4.33488464,14.18918705,7.04747343,-,0.72105604,1687.0,86.46899414,452,42.05234909,13.93558311,-0.02357568,0.85039514,0.34054193,-0.04165137,138
Sun Feb 16 14:28:10 GMT+01:00 2020,16-feb-2020 14:28:07.699,13.93547473,42.05238269,0.0,454.0,-0.83786011,8.80180359,4.06210327,26.70059013,3.74515772,-,0.73320186,1683.5,68.26499939,454,42.05238342,13.9354744,0.00606152,0.84063792,0.33298096,-0.05406533,139
Sun Feb 16 14:28:12 GMT+01:00 2020,16-feb-2020 14:28:09.460,13.93527731,42.05247652,0.0,448.0,-1.05918884,8.31964111,3.8886260999999998,18.60601807,5.37449312,-,0.74605018,1793.0,62.1969986,448,42.05247498,13.93527699,-0.04821062,0.91417873,0.28858894,-0.00515112,141
Sun Feb 16 14:28:14 GMT+01:00 2020,16-feb-2020 14:28:11.164,13.9351201,42.05252372,0.0,446.0,-0.97782898,8.21914673,4.07287598,11.16064835,8.95986652,-,0.75957572,1930.5,59.162998200000004,446,42.05252457,13.93511963,-0.09967675,0.83783346,0.31517592,-0.05932168,143
Sun Feb 16 14:28:15 GMT+01:00 2020,16-feb-2020 14:28:12.871,13.93503498,42.05257754,0.0,448.0,-0.40356445,8.91426086,4.26907349,8.90335655,11.23148537,-,0.77388531,2090.5,57.64599991,448,42.05257797,13.93503475,-0.01320873,0.84685808,0.29175889,-0.06650483,144
Sun Feb 16 14:28:17 GMT+01:00 2020,16-feb-2020 14:28:14.591,13.93483317,42.05265118,0.0,447.0,-0.15710449,8.78504944,5.1711731,9.72539234,10.28214741,-,0.78975278,2231.5,50.06099701,447,42.05265045,13.93483353,-0.00991588,0.85002959,0.32810313,-0.04787602,146
Sun Feb 16 14:28:19 GMT+01:00 2020,16-feb-2020 14:28:16.322,13.93458782,42.05276351,10.03,445.0,0.42437744,8.37826538,4.30976868,12.61836243,7.9247942,-,0.8061403,2289.5,27.30599976,445,42.05276489,13.93458748,-0.00454964,0.83051515,0.35956797,-0.05047664,148
Sun Feb 16 14:28:21 GMT+01:00 2020,16-feb-2020 14:28:18.080,13.934409,42.05291819,9.59,445.0,1.26066589,7.93319702,3.41244507,16.22467232,6.16332436,-,0.82313472,2315.5,21.23799896,445,42.05291748,13.93440914,0.2290016,0.80624574,0.15211688,-0.12446569,150
Sun Feb 16 14:28:22 GMT+01:00 2020,16-feb-2020 14:28:19.959,13.9343041,42.05297865,9.81,447.0,-0.43347168,8.43928528,4.75721741,19.63685226,5.09236002,-,0.84023613,2310.0,19.72099876,447,42.05297852,13.93430424,-0.04418672,0.86027372,0.3849355,-0.01113526,152
Sun Feb 16 14:28:25 GMT+01:00 2020,16-feb-2020 14:28:22.194,13.93411207,42.05313964,9.32,438.0,-0.63327026,8.44287109,4.14704895,25.26149178,3.95851183,-,0.85719866,2248.0,18.20399857,438,42.05313873,13.934111600000001,-0.01442819,0.83344251,0.32041928,-0.06609283,152
Sun Feb 16 14:28:26 GMT+01:00 2020,16-feb-2020 14:28:23.960,13.93400436,42.05321386,9.65,435.0,-0.76965332,8.49432373,3.89341736,39.51048660000001,2.53092098,-,0.87927979,2225.0,19.72099876,435,42.05321503,13.93400478,-0.04016126,0.86685938,0.31919983,-0.03593498,156
Sun Feb 16 14:28:28 GMT+01:00 2020,16-feb-2020 14:28:25.699,13.93380648,42.053346399999995,9.72,438.0,-0.5088501,8.9046936,4.57417297,20.02340889,4.99405098,-,0.89590204,2276.0,21.23799896,438,42.05334473,13.93380642,-0.01223347,0.81612432,0.26517192,-0.10551383,157
Sun Feb 16 14:28:30 GMT+01:00 2020,16-feb-2020 14:28:27.429,13.933623999999998,42.05347277,9.85,442.0,-0.10206604,8.73957825,4.60647583,20.00019264,4.99984789,-,0.91256744,2308.0,19.72099876,442,42.05347443,13.93362427,-0.03394108,0.81648982,0.32078481,-0.08051924,159
Sun Feb 16 14:28:32 GMT+01:00 2020,16-feb-2020 14:28:29.170,13.93344853,42.05359778,10.1,446.0,-0.39398193,8.73001099,4.97975159,17.92602921,5.57836437,-,0.92936742,2341.5,19.72099876,446,42.053596500000005,13.93344879,-0.03491789,0.8750300999999999,0.40701020000000004,0.01225291,161
Sun Feb 16 14:28:33 GMT+01:00 2020,16-feb-2020 14:28:30.930,13.93334778,42.05364435,10.08,445.0,2.02755737,8.46202087,4.26669312,18.00775909,5.5530467,-,0.94638133,2350.0,19.72099876,445,42.05364609,13.933347699999999,0.07972367,0.82832044,0.30419925,-0.07456359,163
Sun Feb 16 14:28:35 GMT+01:00 2020,16-feb-2020 14:28:32.690,13.93318196,42.05376783,10.13,444.0,0.82037354,8.530212400000002,4.36120605,19.11750793,5.23069859,-,0.96337575,2316.0,18.20399857,444,42.05376816,13.93318176,0.05435613,0.90710622,0.32846865,0.00502311,164
Sun Feb 16 14:28:37 GMT+01:00 2020,16-feb-2020 14:28:34.430,13.93301655,42.05388536,9.83,444.0,0.64689636,9.12123108,4.55502319,35.16484451,2.84369016,-,0.98028076,2271.5,18.20399857,444,42.05388641,13.93301678,0.07301664,0.85271275,0.35017782,-0.03265853,166
Sun Feb 16 14:28:39 GMT+01:00 2020,16-feb-2020 14:28:36.180,13.93283631,42.05399735,9.45,445.0,-0.34492493,8.36271667,3.71154785,45.54248047,2.19570661,-,0.99661201,2217.0,16.68700027,445,42.05399704,13.93283653,-0.03516054,0.85246855,0.27834329,-0.06636313,168
Sun Feb 16 14:28:40 GMT+01:00 2020,16-feb-2020 14:28:37.920,13.93274562,42.05405671,8.94,443.0,0.24610901,8.38903809,4.41384888,37.16172028,2.69088507,-,1.01237869,2170.0,16.68700027,443,42.05405807,13.93274593,0.02508756,0.85515165,0.34993362,-0.03304992,170
Sun Feb 16 14:28:42 GMT+01:00 2020,16-feb-2020 14:28:39.672,13.93257259,42.054162899999994,9.46,441.0,-0.70146179,8.18563843,4.06089783,24.44301605,4.09106302,-,1.0283103,2193.0,16.68700027,441,42.05416107,13.93257236,-0.04174624,0.86466467,0.36786154,-0.01565054,171
Sun Feb 16 14:28:44 GMT+01:00 2020,16-feb-2020 14:28:41.729,13.93238717,42.05427233,9.01,440.0,-0.61772156,8.557724,4.40307617,20.72677612,4.82457685,-,1.04463613,2183.0,16.68700027,440,42.0542717,13.93238735,-0.03064979,0.85710216,0.32663947,-0.04176629,173
Sun Feb 16 14:28:46 GMT+01:00 2020,16-feb-2020 14:28:43.739,13.93219307,42.05436401,9.82,437.0,-0.78401184,8.58764648,4.80148315,27.14446068,3.68391633,-,1.0671462999999999,2254.5,16.68700027,437,42.05436325,13.932192800000001,-0.07467629,0.84978539,0.3961564,-0.01280778,173
Sun Feb 16 14:28:48 GMT+01:00 2020,16-feb-2020 14:28:45.460,13.93199811,42.05448462,9.52,438.0,-0.54951477,9.82832336,5.52651978,19.8847065,5.02888584,-,1.08267128,2293.5,16.68700027,438,42.05448532,13.93199825,-0.03040559,0.87125039,0.30054086,-0.04027938,177
Sun Feb 16 14:28:50 GMT+01:00 2020,16-feb-2020 14:28:47.162,13.931831400000002,42.05457138,9.33,438.0,-0.67753601,8.38903809,4.08004761,20.81182671,4.80486059,-,1.09928656,2301.0,16.68700027,438,42.05457306,13.93183136,-0.09479892,0.84698099,0.30224717,-0.05725226,179
Sun Feb 16 14:28:51 GMT+01:00 2020,16-feb-2020 14:28:48.891,13.931742300000002,42.05462394,9.47,436.0,-0.54473877,8.59002686,4.5322876,27.45276642,3.64254427,-,1.11585617,2295.5,16.68700027,436,42.05462265,13.93174267,-0.05248028,0.8545419,0.36615366,-0.02483607,180
Sun Feb 16 14:28:53 GMT+01:00 2020,16-feb-2020 14:28:50.642,13.93154203,42.05472348,9.86,435.0,-0.49807739,9.18943787,4.19848633,29.80752945,3.35478735,-,1.13242579,2315.0,15.17000008,435,42.05472183,13.9315424,0.08191994,0.95198661,0.38603365,0.07238216,182
Sun Feb 16 14:28:55 GMT+01:00 2020,16-feb-2020 14:28:52.429,13.93133922,42.0548211,10.12,436.0,-0.53636169,7.97627258,3.96759033,14.37378025,6.95696735,-,1.14991605,2330.5,15.17000008,436,42.05482101,13.93133926,-0.07504182,0.84356523,0.32420054,-0.05248072,184
Sun Feb 16 14:28:57 GMT+01:00 2020,16-feb-2020 14:28:54.175,13.9311489,42.05491289,10.03,438.0,-0.16667175,8.37109375,4.18293762,19.91364288,5.02157831,-,1.1664952,2292.5,15.17000008,438,42.05491257,13.93114853,0.00410945,0.84881014,0.34505579,-0.04125192,186
Sun Feb 16 14:28:58 GMT+01:00 2020,16-feb-2020 14:28:55.910,13.93105818,42.05496438,9.59,439.0,-0.58779907,8.95613098,4.99888611,30.60795403,3.2670567,-,1.18292856,2238.5,15.17000008,439,42.05496597,13.93105793,-0.08235857,0.84563863,0.2945649,-0.06289338,188
Sun Feb 16 14:29:00 GMT+01:00 2020,16-feb-2020 14:28:57.620,13.93087587,42.05507766,9.46,439.0,-0.28511047,8.69172668,4.4772644,25.82321358,3.87240434,-,1.19923913,2247.5,15.17000008,439,42.0550766,13.93087578,-0.03308715,0.89210558,0.32529712,-0.01081191,189
Sun Feb 16 14:29:02 GMT+01:00 2020,16-feb-2020 14:28:59.342,13.93065374,42.05519349,10.36,436.0,-0.15708923,8.81137085,4.65074158,11.53353214,8.67019081,-,1.2157129,2303.5,15.17000008,436,42.05519485,13.93065357,-0.01601317,0.8982029,0.3740817,0.0161119,191
Sun Feb 16 14:29:04 GMT+01:00 2020,16-feb-2020 14:29:01.060,13.93046441,42.05529992,10.3,439.0,0.41598511,9.00518799,4.33369446,15.51117516,6.44683075,-,1.23252261,2336.0,15.17000008,439,42.05530167,13.93046474,-0.01540344,0.88246971,0.3252987,-0.01993623,193
Sun Feb 16 14:29:06 GMT+01:00 2020,16-feb-2020 14:29:03.188,13.93028521,42.05540852,10.72,438.0,0.19944763,8.3926239,4.48324585,12.88256931,7.76226521,-,1.24952257,2456.0,15.17000008,438,42.05540848,13.93028545,-0.05906442,0.74880368,0.31371227,-0.14217956,193
Sun Feb 16 14:29:07 GMT+01:00 2020,16-feb-2020 14:29:04.975,13.93017748,42.05549184,11.35,438.0,0.13005066,8.53977966,4.66389465,7.74026346,12.9191885,-,1.27284718,2648.0,15.17000008,438,42.0554924,13.93017769,-0.00284177,0.84612703,0.39725298,-0.0182374,197
Sun Feb 16 14:29:09 GMT+01:00 2020,16-feb-2020 14:29:06.692,13.92996052,42.05563702,11.59,439.0,0.10971069,8.68574524,5.04315186,15.08388138,6.62945557,-,1.29226935,1698.0,16.68700027,439,42.05563736,13.92996025,-0.021746500000000002,0.80295289,0.37396038,-0.0670267,198
Sun Feb 16 14:29:11 GMT+01:00 2020,16-feb-2020 14:29:08.440,13.92981469,42.05577605,10.74,437.0,-0.32339478,8.18684387,5.17356873,181.24800109999998,0,-,1.31104279,1655.0,16.68700027,437,42.05577469,13.92981434,-0.21017154,0.86759043,0.39530244,0.02123552,200
Sun Feb 16 14:29:13 GMT+01:00 2020,16-feb-2020 14:29:10.179,13.92965276,42.05589515,10.18,433.0,-0.95031738,8.95375061,5.30278015,181.24800109999998,0,-,1.329705,1592.5,16.68700027,433,42.05589676,13.92965317,-0.01406266,0.80685705,0.48457491,-0.00319386,202
Sun Feb 16 14:29:14 GMT+01:00 2020,16-feb-2020 14:29:11.909,13.92957694,42.05594244,9.64,434.0,-0.60215759,7.85423279,5.60906982,181.24800109999998,0,-,1.3466562,1471.0,16.68700027,434,42.05594254,13.92957687,-0.02150229,0.80319709,0.41457117,-0.04554017,204
Sun Feb 16 14:29:16 GMT+01:00 2020,16-feb-2020 14:29:13.692,13.929423300000002,42.05603517,7.7,436.0,-0.98620605,7.1603240999999995,7.01843262,181.24800109999998,0,-,1.36123955,1192.0,16.68700027,436,42.05603409,13.92942333,-0.10053068,0.72990048,0.61543655,0.027341900000000002,205
Sun Feb 16 14:29:18 GMT+01:00 2020,16-feb-2020 14:29:15.399,13.92943222,42.05604247,0.0,435.0,-0.50045776,8.35194397,4.22720337,72.69535828,1.37557507,-,1.36804128,825.0,15.17000008,435,42.05604172,13.92943192,-0.03442949,0.85198015,0.38225240000000005,-0.020061900000000004,207
Sun Feb 16 14:29:20 GMT+01:00 2020,16-feb-2020 14:29:17.089,13.92942447,42.05603337,0.0,436.0,-0.44662476,8.557724,4.35641479,2.27798414,43.89754868,-,1.36804128,803.5,15.17000008,436,42.05603409,13.92942429,-0.05467499,0.86368942,0.3413974,-0.0281845,209
Sun Feb 16 14:29:21 GMT+01:00 2020,16-feb-2020 14:29:18.809,13.92942278,42.05603977,0.0,437.0,-0.29707336,8.2167511,4.24635315,0.0,-,-,1.36804128,804.0,15.17000008,437,42.05603789999999,13.92942238,-0.03479502,0.83344251,0.31846878,-0.06643242,210
Sun Feb 16 14:29:23 GMT+01:00 2020,16-feb-2020 14:29:20.520,13.92941648,42.05604696,0.0,437.0,-0.30305481,8.62831116,4.50717163,0.0,-,-,1.36804128,801.5,15.17000008,437,42.05604553,13.92941666,-0.03089244,0.87954241,0.35944664,-0.00686661,212
Sun Feb 16 14:29:25 GMT+01:00 2020,16-feb-2020 14:29:22.771,13.92941829,42.05605309,0.0,438.0,-0.37843323,8.77069092,4.47845459,0.0,-,-,1.36804128,800.5,16.68700027,438,42.05605316,13.92941856,-0.03564895,0.83441931,0.33310229,-0.05887895,212
Sun Feb 16 14:29:28 GMT+01:00 2020,16-feb-2020 14:29:25.119,13.92940716,42.05606382,0.0,438.0,-0.51721191,8.31365967,4.18054199,0.0,-,-,1.36804128,798.0,16.68700027,438,42.05606461,13.92940712,-0.05382106,0.8553943000000002,0.32737052,-0.04194545,212
Sun Feb 16 14:29:29 GMT+01:00 2020,16-feb-2020 14:29:26.742,13.92940516,42.05606187,0.0,438.0,-0.35809326,8.756332400000002,4.5705719,0.0,-,-,1.36804128,802.0,16.68700027,438,42.05606079,13.92940521,-0.03552762,0.83100355,0.31310254,-0.07098321,218
Sun Feb 16 14:29:31 GMT+01:00 2020,16-feb-2020 14:29:28.470,13.92940337,42.05606281,0.0,438.0,-0.19657898,8.70010376,4.6040802,0.0,-,-,1.36804128,802.0,15.17000008,438,42.05606461,13.92940331,-0.01772104,0.8766166,0.36810574,-0.00573201,220
Sun Feb 16 14:29:33 GMT+01:00 2020,16-feb-2020 14:29:30.192,13.92940341,42.05606291,0.0,438.0,-0.19538879,8.38186646,4.33728027,0.0,-,-,1.36804128,801.0,15.17000008,438,42.05606461,13.92940331,-0.04589458,0.87978661,0.35005495,-0.01037937,222
Sun Feb 16 14:29:34 GMT+01:00 2020,16-feb-2020 14:29:31.935,13.92940331,42.05606295,0.0,438.0,-0.33895874,8.14735413,4.240371700000001,0.0,-,-,1.36804128,802.0,15.17000008,438,42.05606461,13.92940331,-0.04138071,0.8319788,0.32895705,-0.06271391,224
Sun Feb 16 14:29:36 GMT+01:00 2020,16-feb-2020 14:29:33.641,13.92940485,42.05606279,0.0,438.0,-0.15231323,8.67736816,4.53468323,0.0,-,-,1.36804128,800.0,15.17000008,438,42.05606461,13.92940521,-0.01930602,0.87990946,0.38396025,0.00474886,225
Sun Feb 16 14:29:38 GMT+01:00 2020,16-feb-2020 14:29:35.340,13.9294047,42.05606289,0.0,438.0,-0.50645447,8.59481812,4.39231873,0.0,-,-,1.36804128,797.5,15.17000008,438,42.05606461,13.92940426,-0.05162635,0.8761281999999999,0.34773889,-0.01440402,227
Sun Feb 16 14:29:39 GMT+01:00 2020,16-feb-2020 14:29:37.030,13.92940468,42.05606291,0.0,438.0,-0.36766052,8.14376831,4.28703308,0.0,-,-,1.36804128,800.5,15.17000008,438,42.05606461,13.92940426,-0.05296713,0.83466196,0.32761472,-0.06035995,229
Sun Feb 16 14:29:41 GMT+01:00 2020,16-feb-2020 14:29:38.710,13.92940468,42.05606295,0.0,438.0,-0.27793884,8.38664246,4.51554871,0.0,-,-,1.36804128,797.0,15.17000008,438,42.05606461,13.92940426,-0.02833219,0.85490745,0.36030057,-0.02830516,230
Sun Feb 16 14:29:43 GMT+01:00 2020,16-feb-2020 14:29:40.441,13.92940456,42.056063,0.0,438.0,-0.37962341,8.77308655,4.60287476,0.0,-,-,1.36804128,801.0,15.17000008,438,42.05606461,13.92940426,-0.03869759,0.89430034,0.36920232,0.01099917,232
Sun Feb 16 14:29:45 GMT+01:00 2020,16-feb-2020 14:29:42.161,13.9294027,42.05606558,0.0,438.0,-0.18101501,8.59721375,4.68183899,0.0,-,-,1.36804128,801.0,15.17000008,438,42.05606461,13.92940235,-0.05199187,0.86063921,0.34005508,-0.0316551,234
Sun Feb 16 14:29:47 GMT+01:00 2020,16-feb-2020 14:29:44.311,13.92940295,42.05606488,0.0,438.0,-0.41911316,8.16052246,4.26908875,0.0,-,-,1.36804128,798.5,15.17000008,438,42.05606461,13.92940331,-0.02711274,0.88661647,0.37188542,0.0050818999999999994,234
Sun Feb 16 14:29:49 GMT+01:00 2020,16-feb-2020 14:29:46.080,13.92940434,42.05606582,0.0,439.0,-0.51483154,8.34358215,4.03219604,0.0,-,-,1.36804128,799.0,13.65299988,439,42.05606461,13.92940426,-0.02418541,0.86149317,0.36944652,-0.01827013,238
Sun Feb 16 14:29:50 GMT+01:00 2020,16-feb-2020 14:29:47.809,13.92940719,42.05606364,0.0,439.0,-0.24563599,8.27178955,4.19371033,0.0,-,-,1.36804128,799.0,13.65299988,439,42.05606461,13.92940712,-0.04052678,0.89064038,0.36786154,0.00720898,239
Sun Feb 16 14:29:52 GMT+01:00 2020,16-feb-2020 14:29:49.509,13.92940512,42.05606526,0.0,439.0,-0.25639343,8.7180481,4.6806488,0.0,-,-,1.36804128,800.5,13.65299988,439,42.05606461,13.92940521,-0.04455224,0.83856452,0.30749211,-0.06628666,241
Sun Feb 16 14:29:54 GMT+01:00 2020,16-feb-2020 14:29:51.242,13.92940953,42.05606173,0.0,440.0,-0.51004028,8.39501953,4.12789917,0.0,-,-,1.36804128,803.5,13.65299988,440,42.05606079,13.92940998,-0.01857497,0.86027372,0.34676209,-0.03012653,243
Sun Feb 16 14:29:55 GMT+01:00 2020,16-feb-2020 14:29:52.941,13.92940991,42.05606162,0.0,440.0,-0.35211182,8.13778687,4.30377197,0.0,-,-,1.36804128,800.5,13.65299988,440,42.05606079,13.92940998,-0.03528342,0.89271379,0.36859259,0.00918649,245
Sun Feb 16 14:29:57 GMT+01:00 2020,16-feb-2020 14:29:54.661,13.92940967,42.05606181,0.0,440.0,-0.50166321,8.26820374,4.21644592,0.0,-,-,1.36804128,799.0,13.65299988,440,42.05606079,13.92940998,-0.05113794,0.84283417,0.32981101,-0.05219437,246
Sun Feb 16 14:29:59 GMT+01:00 2020,16-feb-2020 14:29:56.360,13.92941108,42.05606279,0.0,440.0,-0.50405884,8.23469543,4.09799194,0.0,-,-,1.36804128,800.5,13.65299988,440,42.05606461,13.92941093,-0.03211189,0.85112619,0.32663947,-0.04706333,248
Sun Feb 16 14:30:01 GMT+01:00 2020,16-feb-2020 14:29:58.111,13.92939675,42.05607048,1.06,440.0,-0.29946899,9.17030334,2.41943359,0.0,-,-,1.36804128,805.5,13.65299988,440,42.05607224,13.92939663,-0.04003993,0.97796392,0.19480260000000002,0.02256503,250
Sun Feb 16 14:30:02 GMT+01:00 2020,16-feb-2020 14:29:59.860,13.92937002,42.05608249,2.54,440.0,1.68060303,8.9046936,2.60487366,0.0,-,-,1.36804128,1176.5,13.65299988,440,42.05608368,13.92936993,0.16863216,0.87381059,0.25358704,-0.04206876,251
Sun Feb 16 14:30:04 GMT+01:00 2020,16-feb-2020 14:30:01.592,13.92933312,42.05614019,4.04,440.0,1.74041748,8.832901,2.79629517,4.21578026,23.71990776,-,1.37332428,1790.0,13.65299988,440,42.056140899999995,13.92933273,0.32485977,0.8300283000000002,0.19394867,-0.06112371,253
Sun Feb 16 14:30:06 GMT+01:00 2020,16-feb-2020 14:30:03.673,13.929359400000001,42.05620976,4.1,439.0,1.19126892,6.53938293,0.26828003,2.94732046,33.92841721,-,1.38089776,2279.0,13.65299988,439,42.05620956,13.92935944,-0.06467486,0.68514138,-0.21802773,-0.30152646,255
Sun Feb 16 14:30:08 GMT+01:00 2020,16-feb-2020 14:30:05.872,13.92944051,42.05633139,6.38,439.0,0.39086914,8.47517395,4.21165466,1.67450416,59.71792984,-,1.39475334,3193.5,13.65299988,439,42.05633163,13.9294405,0.03984395,0.86393207,0.32932258,-0.03412155,257
Sun Feb 16 14:30:10 GMT+01:00 2020,16-feb-2020 14:30:07.580,13.92952586,42.05645620000001,6.86,439.0,0.72944641,9.41316223,3.92451477,5.80946445,17.21293259,-,1.4085021,2075.0,13.65299988,439,42.05645752,13.92952633,0.10643355,0.84966409,0.41993739999999996,0.00213667,259
Sun Feb 16 14:30:12 GMT+01:00 2020,16-feb-2020 14:30:09.295,13.92961033,42.05658102,7.46,438.0,0.20423889,10.00299072,1.72192383,181.24800109999998,0,-,1.42107487,1877.5,13.65299988,438,42.05657959,13.92961025,0.06509016,0.84393233,0.27602726,-0.07347897,261
Sun Feb 16 14:30:13 GMT+01:00 2020,16-feb-2020 14:30:11.009,13.92967488,42.05667944,10.26,437.0,0.20303345,9.23728943,2.17895508,2.57113361,38.89254379,-,1.43707108,2524.0,13.65299988,437,42.05667877,13.929675099999999,0.01459929,0.91966784,0.14577538,-0.04762029,263
Sun Feb 16 14:30:15 GMT+01:00 2020,16-feb-2020 14:30:12.740,13.92984087,42.05686467,12.45,434.0,1.62675476,10.03170776,4.27626038,3.074512,32.52481079,-,1.45857108,3085.5,15.17000008,434,42.05686569,13.92984104,0.29461437,0.88503152,0.12357937,-0.04047155,264
Sun Feb 16 14:30:17 GMT+01:00 2020,16-feb-2020 14:30:14.461,13.93006045,42.05709708,14.74,433.0,0.71031189,8.51585388,3.8503418,181.24800109999998,0,-,1.48320687,2184.0,15.17000008,433,42.05709839,13.93006039,0.0099641,0.87917686,0.17504551,-0.07843545,266
Sun Feb 16 14:30:19 GMT+01:00 2020,16-feb-2020 14:30:16.233,13.93030261,42.05731778,15.24,433.0,-3.78341675,9.0039978,1.77098083,9.82340908,10.17955303,-,1.50920188,2374.0,15.17000008,433,42.05731964,13.93030262,-0.05028401,0.85551721,0.31139469,-0.04905245,268
Sun Feb 16 14:30:20 GMT+01:00 2020,16-feb-2020 14:30:17.929,13.93042468,42.05742203,14.59,434.0,2.04312134,9.32821655,6.25392151,7.9592371,12.56375694,-,1.53555608,2310.0,15.17000008,434,42.05742264,13.93042469,0.20826924,0.95088851,0.53750473,0.16400282,270
Sun Feb 16 14:30:22 GMT+01:00 2020,16-feb-2020 14:30:19.671,13.93066058,42.05761621,13.79,435.0,1.14460754,7.98464966,3.94245911,181.24800109999998,0,-,1.56038606,2162.0,15.17000008,435,42.05761719,13.93066025,0.36108267,0.72636342,0.11284689,-0.16109066,271
Sun Feb 16 14:30:24 GMT+01:00 2020,16-feb-2020 14:30:21.500,13.93089282,42.05778871,13.5,437.0,-1.21472168,9.00160217,1.91694641,181.24800109999998,0,-,1.58366609,2038.0,15.17000008,437,42.05778885,13.93089294,-0.12382483,0.91759449,0.09540737,-0.05337007,273
Sun Feb 16 14:30:26 GMT+01:00 2020,16-feb-2020 14:30:23.125,13.931154399999999,42.05797805,16.98,439.0,0.12765503,9.54595947,2.0987854,3.70308471,27.00395203,-,1.60755503,2208.5,15.17000008,439,42.05797958,13.93115425,0.03764768,0.96040154,0.12284676,-0.01302772,275
Sun Feb 16 14:30:28 GMT+01:00 2020,16-feb-2020 14:30:25.142,13.93147678,42.05820234,18.63,440.0,-0.32220459,8.40458679,5.28723145,2.13163972,46.91127014,-,1.64499784,2852.0,15.17000008,440,42.05820084,13.93147659,-0.02564907,0.86112761,0.40676599999999996,-0.00015344,275
Sun Feb 16 14:30:29 GMT+01:00 2020,16-feb-2020 14:30:26.871,13.93163642,42.058314200000005,17.95,440.0,-0.79478455,8.2550354,5.87585449,91.11483765,1.09749329,-,1.67306614,1966.5,13.65299988,440,42.05831528,13.93163681,0.09862839,0.94296199,0.50482041,0.12497862,278
Sun Feb 16 14:30:31 GMT+01:00 2020,16-feb-2020 14:30:28.579,13.93193852,42.05852989,16.8,442.0,0.27720642,8.89511108,5.32791138,181.24800109999998,0,-,1.70267117,1850.0,13.65299988,442,42.0585289,13.93193817,-0.021746500000000002,0.86100477,0.39335039,-0.00709014,280
Sun Feb 16 14:30:33 GMT+01:00 2020,16-feb-2020 14:30:30.310,13.93221898,42.05872593,15.73,443.0,-0.20974731,8.61395264,4.45571899,181.24800109999998,0,-,1.73062122,1747.5,13.65299988,443,42.05872726,13.93221855,-0.03979573,0.84649259,0.28432083,-0.06917913,282
Sun Feb 16 14:30:34 GMT+01:00 2020,16-feb-2020 14:30:32.031,13.93235936,42.05881899,15.58,443.0,-0.15589905,8.5194397,4.26429749,35.89632797,2.78574228,-,1.75775695,1708.5,13.65299988,443,42.05881882,13.932359699999997,-0.01589185,0.86844438,0.33468884,-0.02837909,284
Sun Feb 16 14:30:36 GMT+01:00 2020,16-feb-2020 14:30:33.764,13.932654999999999,42.05899306,15.5,443.0,-0.25878906,8.63668823,3.94366455,21.87639809,4.57104111,-,1.78425825,1685.0,13.65299988,443,42.05899429,13.93265533,-0.02638013,0.88039631,0.30200455,-0.03147442,285
Sun Feb 16 14:30:38 GMT+01:00 2020,16-feb-2020 14:30:35.480,13.93295361,42.05915678,14.96,442.0,0.31788635,8.65463257,4.96897888,27.19334221,3.67729425,-,1.81043339,1639.5,13.65299988,442,42.05915833,13.93295383,-0.01491659,0.87185854,0.4196932,0.01545308,287
Sun Feb 16 14:30:40 GMT+01:00 2020,16-feb-2020 14:30:37.180,13.93323488,42.05930863,14.15,443.0,-0.23605347,6.70329285,4.49760437,181.24800109999998,0,-,1.83521044,1572.5,13.65299988,443,42.0593071,13.93323517,-0.01650158,0.78490371,0.31810325,-0.11022641,289
