GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Thu Feb 13 10:22:08 GMT+01:00 2020,13-feb-2020 10:22:07.397,13.92343964,42.0454356,10.07,19.720999,407.0,152.1,4.38209534,8.63908386,0.24195862,0.07955351,-,-,-,-,-,16.81351089,-,5.94754601,-,-,-,-,-,-,-,-,-,-,-,40,-,3585.20825195,-,-,-,-,-,-,-,-,-,19.72099876,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.00284177,0.96625614,0.14357911,-0.0031708,-,-0.001,-,-,40,40,40
Thu Feb 13 10:22:11 GMT+01:00 2020,13-feb-2020 10:22:10.190,13.92357871,42.04519926,10.88,15.17,425.0,160.8,1.39823914,9.74575806,4.83857727,0.071408,-,-,21.96078491,-,0,14.00004768,-,7.14268446,-,-,-,-,-,-,-,-,-,-,-,0.48399734,0.02161944,3585.22973633,-,-,-,-,-,-,-,-,1245.5,15.17000008,425,42.04520035,13.92357826,160.80000305,13,23.92156792,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,16.82437706,-,-,2.12437725,-,-,28.9995575,-,-,-,0.14253202,0.99345136,0.39322907,0.11865565,-,2.89700007,-,39.16799927,38,39,39
Thu Feb 13 10:22:13 GMT+01:00 2020,13-feb-2020 10:22:12.858,13.92362579,42.04500405,10.8,12.136,423.0,158.0,1.64590454,8.39501953,2.92550659,-0.03235438,-,0,68.62744904,-,45.87059784,14.00005913,2.18000031,7.14267826,15.40005207,6.49334955,0,0.00170826,-,-,-,-,0.00249406,57.66096878,57.66096878,0.87599945,0.04742514,3585.25561523,-,-,72,-,-,-,-,-,1616.5,12.13599968,423,42.0450058,13.92362595,158,14,23.92156792,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,15.08392429,-,-,1.01526451,-,-,28.9995575,-,11.04586601,1.86987865,0.16777824,0.85576141,0.19821678,-0.07805058,-,4.89799976,-,38.88000107,39,39,39
Thu Feb 13 10:22:16 GMT+01:00 2020,13-feb-2020 10:22:15.531,13.9237184,42.04471207,9.21,10.6189995,417.0,169.8,0.94241333,8.61157227,5.69041443,0.06792789,-,0,64.31372833,-,13.72058487,14.00005722,7.288167,7.14267921,14.56031895,6.86783886,0,0.00408732,-,-,-,-,0.00596749,192.77189636,125.21643066,3.49599838,0.07503125,3585.28320312,-,-,65,-,-,-,51.53195572,3.09191728,1695.5,10.61899948,417,42.04471207,13.92371845,169.80000305,14,23.92156792,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,15.66407585,-,-,1.59541512,-,-,28.9995575,-,11.04586601,1.86987865,0.09606659,0.87783605,0.4800626,0.0569108,-,7.90500021,-,33.15599823,40,39.20000076,39.20000076
Thu Feb 13 10:22:18 GMT+01:00 2020,13-feb-2020 10:22:17.705,13.92375336,42.04452563,10.68,10.6189995,414.0,178.6,0.8789978,9.82113647,2.445755,-0.01884065,-,0,0,-,9.86513424,14.00002193,10.13649845,7.14269781,12.99525738,7.69495487,0,0.00694686,-,-,-,-,0.01014241,268.11019897,172.84768677,4.66400146,0.09874542,3585.30688477,-,-,71,0,0,-,78.70278931,4.72216702,1617.5,10.61899948,414,42.04452515,13.92375374,178.6000061,14,22.74509811,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,15.66407585,-,-,1.59541512,-,-,28.9995575,-,-,-,0.06460176,0.98954874,0.23687859,0.04767213,-,10.47900009,-,38.44800186,38,39,39
Thu Feb 13 10:22:20 GMT+01:00 2020,13-feb-2020 10:22:19.835,13.92376371,42.04430431,11.82,10.6189995,413.0,170.2,2.52287292,8.39741516,3.89819336,-0.00043637,-,0,0,-,181.2480011,14.00003338,0,7.14269161,13.5964489,7.35470867,0,0.00694686,-,-,-,-,0.01014241,0,129.63577271,7.90399933,0.12035542,3585.32861328,-,-,74,0,0,-,0,0,1459,10.61899948,413,42.04430389,13.92376328,170.19999695,14,22.74509811,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,15.37400055,-,-,1.30533981,-,-,28.9995575,-,-,-,0.25497887,0.88295811,0.37469143,0.03474267,-,12.70899963,14.89999962,42.55199814,34,38.2857132,38.2857132
Thu Feb 13 10:22:23 GMT+01:00 2020,13-feb-2020 10:22:22.346,13.92379786,42.0440031,10.07,21.237999,409.0,169.4,1.74162292,9.4059906,3.64694214,0.0169837,-,0,6.66666698,-,181.2480011,14.00004578,0,7.14268541,13.95716667,7.16462898,0,0.00694686,-,-,-,-,0.01014241,0,103.70861053,14.11999893,0.13869709,3585.34692383,-,-,75,2.35294127,-28.125,-,0,0,1217.5,21.23799896,409,42.04400253,13.92379761,169.3999939,16,22.74509811,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,15.2289629,3744.87451172,-,1.16030216,-,-,28.9995575,-,-,-,0.20655982,0.89173853,0.24297589,-0.02217078,-,14.90499973,14.39999962,36.2519989,28,37,37
Thu Feb 13 10:22:25 GMT+01:00 2020,13-feb-2020 10:22:24.646,13.92382615,42.04387501,7.56,33.374,415.0,164.6,0.48777771,9.33659363,3.17556763,-0.00293366,-,0,97.64706421,-,181.2480011,14.00005722,0,7.14267921,14.19764709,7.04327393,0,0.00694686,-,-,-,-,0.01014241,0,86.42384338,9.02400017,0.15878028,3585.36694336,-,-,66,0,61.71875,-,0,0,886,33.37400055,415,42.04387665,13.92382622,164.6000061,16,22.74509811,-,-,-,1.2689209,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,13.92362309,7856.69433594,-,-0.14503765,-,-,18.39935303,-,-,-,0.23400076,0.76282901,-0.14107117,-0.20075817,-,16.93899918,13,27.2159996,21,35.22222137,35.22222137
Thu Feb 13 10:22:28 GMT+01:00 2020,13-feb-2020 10:22:26.898,13.92384648,42.04373106,7.01,25.789,414.0,168.7,1.89955139,8.48834229,3.23059082,-0.00724781,-,0,94.11764526,-,4.48765039,13.99997616,22.28291321,7.14272118,12.81050491,7.80593157,0,0.00988985,-,-,-,-,0.01443919,589.38262939,158.27510071,2.54799843,0.1708893,3585.37915039,-,-,77,1.17647064,-25.78125,-,91.63458252,5.49807501,1093.5,25.78899956,414,42.04373169,13.92384624,168.69999695,16,22.74509811,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,16.82437706,5553.49511719,-,2.75571632,-,-,28.9995575,-,70.79373932,8.10684013,0.17192501,1.0105269,0.16028912,0.05794026,-,19.90500069,12.80000019,25.23600006,26,34.29999924,34.29999924
Thu Feb 13 10:22:30 GMT+01:00 2020,13-feb-2020 10:22:29.048,13.92389325,42.04362949,4.55,15.17,425.0,175.8,1.33244324,8.69770813,3.86709595,-0.00774562,-,0,7.84313726,-,6.21570969,13.99990845,16.08793259,7.14275503,11.98615551,8.34278488,0,0.0119184,-,-,-,-,0.01740087,425.52554321,191.68141174,0.76399994,0.18721876,3585.39550781,-,-,81,0,-7.03125,-,54.0946579,3.24567938,1137.5,15.17000008,425,42.04362869,13.92389297,175.80000305,16,23.92156792,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,15.66407585,3425.79125977,-,1.59541512,-,-,28.9995575,-,70.79373932,8.10684013,0.11728735,0.87734765,0.28529608,-0.03429549,-,21.90600014,12.80000019,16.38000107,26,33.54545593,33.54545593
Thu Feb 13 10:22:32 GMT+01:00 2020,13-feb-2020 10:22:31.306,13.92394428,42.04350775,4.37,15.17,427.0,183.0,1.89356995,8.98724365,1.23139954,-0.01967171,-,0,42.35294342,-,181.2480011,13.99992085,0,7.14274883,12.3654604,8.08687401,0,0.0119184,-,-,-,-,0.01740087,0,170.38346863,2.61999893,0.20045626,3585.40869141,-,-,70,5.49019623,-3.125,-,0,0,837,15.17000008,427,42.04350662,13.92394447,183,16,23.92156792,-,-,-,1.48458862,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,14.06866074,3567.9284668,-,0,-,-,21.52653503,-,-,-,0.31656775,0.90283811,0.03991578,-0.03276319,-,23.90600014,14,15.7319994,19,32.33333206,32.33333206
Thu Feb 13 10:22:34 GMT+01:00 2020,13-feb-2020 10:22:33.558,13.92388109,42.04344503,6.77,6.068,437.0,209.5,0.27243042,9.5710907,3.05592346,0.00507713,-,0,67.45098114,-,5.99776459,13.99985218,16.67253113,7.14278412,11.7286911,8.52592373,0,0.01674326,-,-,-,-,0.02444516,440.98815918,197.44393921,7.2680006,0.21380876,3585.42211914,-,-,96,0,-10.15625,-,127.52920532,7.651752,1514,6.06799984,437,42.04344559,13.92388153,209.5,17,23.92156792,-,-,-,1.70736694,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,18.56483078,15973.00585938,-,4.49617004,-,-,24.75682068,-,29.32748413,4.64984655,0.12631197,0.99186635,0.13955522,0.02852452,-,25.90399933,13,24.37199974,23,31.61538506,31.61538506
Thu Feb 13 10:22:36 GMT+01:00 2020,13-feb-2020 10:22:35.705,13.92378548,42.04336793,9.56,24.272,439.0,199.6,3.3842926,9.38804626,1.78771973,0.00316313,-,0,5.88235283,-,3.30130172,13.99975967,30.29045105,7.14283133,10.96256447,9.12176323,0,0.0223935,-,-,-,-,0.03269451,801.18188477,252.32920837,3.99599838,0.23215613,3585.44042969,-,-,98,0,23.4375,-,150.67320251,9.04039192,2391.5,24.27199936,439,42.04336929,13.92378521,199.6000061,17,23.92156792,-,-,-,1.90667725,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,23.20603752,6119.14208984,-,9.13737679,-,-,27.64682198,-,96.55519104,24.18154144,0.30924943,0.8974703,0.06150207,-0.03677382,-,27.90500069,13.80000019,34.41600037,36,31.9285717,31.9285717
Thu Feb 13 10:22:39 GMT+01:00 2020,13-feb-2020 10:22:37.956,13.92360456,42.04307406,12.89,48.544,439.0,227.4,2.28718567,8.3818512,2.99967957,-0.00514472,-,0,78.8235321,-,63.48897552,13.99977207,1.5750438,7.14282513,11.3323288,8.82412815,0,0.02652692,-,-,-,-,0.0387293,41.65988159,234.7734375,3.26399994,0.25522029,3585.46337891,-,-,90,0.78431374,-3.90625,-,115.94430542,6.95665836,1740,48.54399872,439,42.04307556,13.92360497,227.3999939,18,22.74509811,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,19.87017059,15052.01660156,-,5.80150986,-,-,28.9995575,-,75.14846039,13.69327354,0.29900536,0.9219839,0.21541363,0.01963441,-,30.90500069,12.89999962,46.40399933,42,32.59999847,32.59999847
Thu Feb 13 10:22:41 GMT+01:00 2020,13-feb-2020 10:22:40.096,13.9233455,42.0429181,13.27,47.027,439.0,229.6,0.7258606,8.46081543,4.12910461,0.01567326,-,0,0,-,6.56940556,13.99970818,15.22176075,7.14285755,10.96595001,9.11894703,0,0.03029785,-,-,-,-,0.04423486,402.61529541,247.68434143,0.59600067,0.28339127,3585.49169922,-,-,93,0,0,-,100.06893158,6.00413609,1962,47.02700043,439,42.04291916,13.92334557,229.6000061,18,22.74509811,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,16.38926506,7041.58203125,-,2.32060432,-,-,28.9995575,-,58.06072235,11.92942238,0.02654967,0.88722622,0.36664206,0.00315366,-,32.90599823,13.80000019,47.77199936,47,33.5,33.5
Thu Feb 13 10:22:43 GMT+01:00 2020,13-feb-2020 10:22:42.366,13.92310681,42.04277584,14.16,31.856998,443.0,214.6,0.98667908,8.01097107,1.86428833,0.04739289,-,0,0,-,181.2480011,13.99971962,0,7.14285135,11.28264523,8.86298561,0,0.03029785,-,-,-,-,0.04423486,0,229.99259949,3.77199936,0.31055224,3585.51879883,-,-,91,0,0,-,0,0,1890,31.85699844,443,42.0427742,13.92310715,214.6000061,18,22.74509811,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,15.95415115,13031.640625,-,1.88549042,-,-,28.9995575,-,58.06072235,11.92942238,0.1005789,0.81661272,0.09003958,-0.15526646,-,34.90499878,15,50.97599792,44,34.11764526,34.11764526
Thu Feb 13 10:22:45 GMT+01:00 2020,13-feb-2020 10:22:44.615,13.92293014,42.04255027,14.08,27.306,447.0,207.6,-0.09487915,9.64884949,5.64854431,0.15875798,-,0,40.39215851,-,181.2480011,13.99973202,0,7.14284515,11.5571146,8.65249825,0,0.03029785,-,-,-,-,0.04423486,0,214.65975952,9.22799683,0.33753473,3585.5456543,-,-,82,5.09803915,-0.78125,-,0,0,1797,27.30599976,447,42.04254913,13.92292976,207.6000061,12,22.74509811,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,15.5190382,7041.58203125,-,1.45037746,-,-,28.9995575,-,-,-,0.03325825,0.9957689,0.18516825,0.03668547,-,36.94200134,15,50.68799973,42,34.55555725,34.55555725
Thu Feb 13 10:22:47 GMT+01:00 2020,13-feb-2020 10:22:46.754,13.922848,42.042331,12.55,4.5509996,448.0,205.0,2.37690735,8.282547,3.227005,0.04206102,-,0,64.70588684,-,15.89891052,13.99974823,6.289608,7.14283705,11.82847691,8.45399761,0,0.03340159,-,-,-,-,0.04876633,166.36001587,211.64103699,2.72799683,0.3642903,3585.57250977,-,-,81,1.96078432,-3.90625,-,82.84015656,4.97040939,1869.5,4.55099964,448,42.0423317,13.92284775,205,10,22.74509811,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,16.96941566,11259.27929688,-,2.90075493,-,-,28.9995575,-,23.22512436,4.54696369,0.10362755,0.74294901,0.36981204,-0.11457887,-,38.91500092,14.5,45.18000031,44,35.05263138,35.05263138
Thu Feb 13 10:22:50 GMT+01:00 2020,13-feb-2020 10:22:49.111,13.92265507,42.04205571,11.34,7.585,459.0,205.1,1.73324585,8.75753784,3.66609192,0.0145585,-,0,73.72549438,-,12.94021034,13.99973869,7.72768927,7.14284182,11.89387321,8.40751553,0,0.0357297,-,-,-,-,0.05216537,204.39723206,211.21492004,0.00799942,0.39044586,3585.59863281,-,-,75,1.17647064,-11.71875,-,65.580513,3.93483067,1903.5,7.58500004,459,42.04205704,13.92265511,205.1000061,11,22.74509811,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,5.88235283,-,-,17.11445236,9204.09472656,-,3.04579163,-,-,28.9995575,-,23.22512436,4.54696369,0.28266245,0.8070997,0.1927292,-0.09581158,-,41.93199921,14,40.82400131,44,35.5,35.5
Thu Feb 13 10:22:52 GMT+01:00 2020,13-feb-2020 10:22:51.358,13.92253134,42.04185772,10.28,9.101999,465.0,202.4,1.03215027,8.8711853,3.3490448,-0.04714373,-,0,0,-,8.32464123,13.99969006,12.01227951,7.14286661,11.69558239,8.55005932,0,0.03923997,-,-,-,-,0.05729036,317.72457886,217.13212585,1.17599869,0.41862279,3585.62670898,-,-,77,0,0,-,88.83010101,5.32980585,1800.5,9.10199928,465,42.04185867,13.92253113,202.3999939,10,22.74509811,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,5.88235283,-,-,16.38926506,6581.8125,-,2.32060432,-,-,28.9995575,-,-,-,0.15570498,0.7634387,0.15150715,-0.18097824,-,43.97999954,13.60000038,37.00799942,42,35.80952454,35.80952454
